strain	sample	accession	lineage	city	state	country	host	collection	date	source	authors	url	title	journal	paper_url
PV255-17091-658_LII_Malta_NY_USA_Ixodes-scapularis_M_Drag_2017-11-09	17091-658		LII	Malta_NY	New-York	USA	Ixodes-scapularis_M	Drag	2017-11-09	NYSDOH	Vogels et al.				
PV256-17091-660_LII_Malta_NY_USA_Ixodes-scapularis_M_Drag_2017-11-09	17091-660		LII	Malta_NY	New-York	USA	Ixodes-scapularis_M	Drag	2017-11-09	NYSDOH	Vogels et al.				
PV257-17103-1037_LII_Islip_NY_USA_Ixodes-scapularis_F_Drag_2017-11-21	17103-1037		LII	Islip_NY	New-York	USA	Ixodes-scapularis_F	Drag	2017-11-21	NYSDOH	Vogels et al.				
PV258-17103-1045_LII_Huntington_NY_USA_Ixodes-scapularis_M_Drag_2017-10-27	17103-1045		LII	Huntington_NY	New-York	USA	Ixodes-scapularis_M	Drag	2017-10-27	NYSDOH	Vogels et al.				
PV259-17103-973_LII_East-Hampton_NY_USA_Ixodes-scapularis_M_Drag_2017-11-15	17103-973		LII	East-Hampton_NY	New-York	USA	Ixodes-scapularis_M	Drag	2017-11-15	NYSDOH	Vogels et al.				
PV260-17115-194_LII_Greenwich_NY_USA_Ixodes-scapularis_M_Drag_2017-10-27	17115-194		LII	Greenwich_NY	New-York	USA	Ixodes-scapularis_M	Drag	2017-10-27	NYSDOH	Vogels et al.				
PV261-19001-855_LII_Guilderland_NY_USA_Ixodes-scapularis_F_Drag_2019-10-15	19001-855		LII	Guilderland_NY	New-York	USA	Ixodes-scapularis_F	Drag	2019-10-15	NYSDOH	Vogels et al.				
PV262-19001-866_LII_Guilderland_NY_USA_Ixodes-scapularis_F_Drag_2019-10-15	19001-866		LII	Guilderland_NY	New-York	USA	Ixodes-scapularis_F	Drag	2019-10-15	NYSDOH	Vogels et al.				
PV263-19001-899_LII_Guilderland_NY_USA_Ixodes-scapularis_M_Drag_2019-10-15	19001-899		LII	Guilderland_NY	New-York	USA	Ixodes-scapularis_M	Drag	2019-10-15	NYSDOH	Vogels et al.				
PV264-19021-783_LII_Copake_NY_USA_Ixodes-scapularis_F_Drag_2019-11-06	19021-783		LII	Copake_NY	New-York	USA	Ixodes-scapularis_F	Drag	2019-11-06	NYSDOH	Vogels et al.				
PV265-19021-794_LII_Copake_NY_USA_Ixodes-scapularis_F_Drag_2019-11-06	19021-794		LII	Copake_NY	New-York	USA	Ixodes-scapularis_F	Drag	2019-11-06	NYSDOH	Vogels et al.				
PV266-19039-373_LII_Windham_NY_USA_Ixodes-scapularis_M_Drag_2019-10-25	19039-373		LII	Windham_NY	New-York	USA	Ixodes-scapularis_M	Drag	2019-10-25	NYSDOH	Vogels et al.				
PV267-19039-497_LII_Cairo_NY_USA_Ixodes-scapularis_M_Drag_2019-10-25	19039-497		LII	Cairo_NY	New-York	USA	Ixodes-scapularis_M	Drag	2019-10-25	NYSDOH	Vogels et al.				
PV268-19083-510_LII_Schodack_NY_USA_Ixodes-scapularis_F_Drag_2019-11-05	19083-510		LII	Schodack_NY	New-York	USA	Ixodes-scapularis_F	Drag	2019-11-05	NYSDOH	Vogels et al.				
PV269-19083-516_LII_Schodack_NY_USA_Ixodes-scapularis_F_Drag_2019-11-05	19083-516		LII	Schodack_NY	New-York	USA	Ixodes-scapularis_F	Drag	2019-11-05	NYSDOH	Vogels et al.				
PV270-19091-625_LII_Malta_NY_USA_Ixodes-scapularis_F_Drag_2019-10-10	19091-625		LII	Malta_NY	New-York	USA	Ixodes-scapularis_F	Drag	2019-10-10	NYSDOH	Vogels et al.				
